date,America,Europe,China,Korea
2019-07-01,0.5852289445876834,0.09605675629439067,0.6148602797308413,84.89082481198263
2019-07-02,0.581120356120472,0.09648712922010516,0.6074012574752639,83.6692057602751
2019-07-03,0.5839986914624494,0.09699886598184337,0.6105416706298525,84.45305811172142
2019-07-04,0.5901661457367315,0.09696261881534826,0.6146317115583053,83.1455627243975
2019-07-05,0.5846515207120889,0.09712626548083986,0.6185094565980503,82.47891880532349
2019-07-06,0.5801705643866212,0.09743735457588146,0.6158441299497478,81.8591072513998
2019-07-07,0.5714889777937795,0.09626919841517466,0.614916864489422,82.59536242280821
2019-07-08,0.5616190327921199,0.09632529139033698,0.6177497258663739,81.34674732038631
2019-07-09,0.5660718159138842,0.09752794931497857,0.6196196279893151,81.90181524796142
2019-07-10,0.5741189292560457,0.09749217057830313,0.6281951221355765,83.92080539131938
2019-07-11,0.5716280253465995,0.09826654797706706,0.6425484532103437,84.27222072087974
2019-07-12,0.5745844230182093,0.09713589621592085,0.6489229289629842,84.43540052002803
2019-07-13,0.5827981330775115,0.09881420351115607,0.6591834868255829,86.69654976242958
2019-07-14,0.5816282350910082,0.09864583720345244,0.6606793621720279,85.58841443442677
2019-07-15,0.5737136893352766,0.0979880507632322,0.6644142946008323,86.01729441951453
2019-07-16,0.5722666066887365,0.09835959266959272,0.6612303587234307,85.41081449383267
2019-07-17,0.5763631347082089,0.09952262449738403,0.6579119592981435,85.48645967097868
2019-07-18,0.5813479323559568,0.09980018331815045,0.6717883004602764,86.68881650341214
2019-07-19,0.5737644954676635,0.09998836165277113,0.6703649423657662,86.80428063937528
2019-07-20,0.5821801459158304,0.10055660889774047,0.6746865873813549,89.07131817859525
2019-07-21,0.5799503362360767,0.10033106703257338,0.6686363306371387,89.67712778699493
2019-07-22,0.5685433565741369,0.09999080585553333,0.6715450656422354,87.72734297397284
2019-07-23,0.5749535057954043,0.10018240616283382,0.6693151552043612,88.2153126626466
2019-07-24,0.5740692099139246,0.10125106055805655,0.6694254146065184,86.78339875021335
2019-07-25,0.5756810377812612,0.10190712687656824,0.6777813149573778,87.13368570330866
2019-07-26,0.57569529667442,0.10156767425573814,0.6749249574395134,88.74238750748525
2019-07-27,0.5829557845132168,0.10236088866649984,0.6773179616327524,89.81318229953939
2019-07-28,0.5783228549433741,0.10157614672230313,0.6738573420860906,90.16885742946735
2019-07-29,0.5688720361471751,0.10171679086652508,0.668192231803692,90.10646026943941
2019-07-30,0.5694664506939285,0.10166547601311979,0.6649897072962624,88.72696672775186
2019-07-31,0.5702174700899361,0.10293452766673734,0.6707066115919142,90.10847502998121
2019-08-01,0.5759356440546266,0.10384021744796486,0.6760521516964663,91.05961258747416
2019-08-02,0.5811216151129247,0.10424941978207633,0.673408988763401,95.33203189528562
2019-08-03,0.5936676760693126,0.1039902943985682,0.6741123332405854,96.06053598909729
2019-08-04,0.5932917394020256,0.10389209697712122,0.6752722583940225,95.06061925014518
2019-08-05,0.5845969987006604,0.10321897338896496,0.6733579528156466,94.38940416494451
2019-08-06,0.5918963044037756,0.10196491150467629,0.6757976621769507,96.81350252473872
2019-08-07,0.5911428604146092,0.10103288789507665,0.6698192039253675,95.50623844575507
2019-08-08,0.587287512798793,0.09948218884984629,0.6567027018177386,95.94185196682686
2019-08-09,0.5790190236933286,0.10036848966127833,0.6109872048034715,92.38574325358438
2019-08-10,0.581970308789669,0.10016869100716207,0.6110884196277032,95.25458482795563
2019-08-11,0.5770979364382316,0.09894297354945068,0.6084219098947659,94.9023527577295
2019-08-12,0.5584719916900168,0.09754955133127265,0.5909262977015173,93.51189583310526
2019-08-13,0.5546830545283354,0.09307793144582084,0.5573272891354352,89.8740596395569
2019-08-14,0.5620399061321726,0.09657443146063095,0.5633476228039394,91.36864809908668
2019-08-15,0.5676161194747806,0.09674991012899213,0.572137410036697,91.0750867416678
2019-08-16,0.568488619282202,0.09723526922251093,0.576663921623718,91.54434592954418
2019-08-17,0.5729710698990951,0.0975676565796621,0.571271354642046,92.59719544008692
2019-08-18,0.5738686342564943,0.09648002249429796,0.5713691351702573,90.56068329769604
2019-08-19,0.5615574849523981,0.09560787156015024,0.5672685381720477,88.63757586541624
2019-08-20,0.5608528844194064,0.09371644114477874,0.5626984538644711,89.2452803021414
2019-08-21,0.5630395175114293,0.09401826972063876,0.549522730739029,87.33669377629262
2019-08-22,0.5576830916076089,0.0933944272951364,0.54465955530035,89.43145016783369
2019-08-23,0.5594700468649421,0.09350696618307941,0.5275789310719622,89.73073599718117
2019-08-24,0.5623584933053456,0.0925961750782395,0.5243074468474773,88.40123239705667
2019-08-25,0.5599181753539552,0.09022408151692828,0.5055952374498127,85.50031553388828
2019-08-26,0.5105578566863784,0.08267294019774261,0.4727492802313867,81.12700469536057
2019-08-27,0.5052751304973842,0.07678356333457018,0.48537798546661315,74.59216358596296
2019-08-28,0.5080840215791664,0.08385099361951351,0.49696532014029643,77.66089520738394
2019-08-29,0.5137026540018828,0.08286682142649042,0.5056794855183551,76.40172079728168
2019-08-30,0.517588284632508,0.08664041759173936,0.5020386280748208,73.5475447595529
2019-08-31,0.5243020446817337,0.08594047064653633,0.503011956077267,73.77906911978835
2019-09-01,0.5239709128091211,0.08574126990753071,0.5039803874851793,80.83916999462821
2019-09-02,0.518734397626432,0.08651773645595175,0.5037597459998691,77.94437976906664
2019-09-03,0.5194742505819686,0.08596006768419126,0.5023248289613766,74.87258336082199
2019-09-04,0.5091166650557427,0.08517306665286807,0.4986771700847046,74.66364832883745
